universe,n,has_btc,sh_eq_all,sh_mv_all,delta_all,delta_BULL,n_obs_BULL,delta_BEAR,n_obs_BEAR,delta_RANGE,n_obs_RANGE
N6_LINK_ADA_SOL_ETH_BTC_AVAX,6,True,0.32650733206189797,0.5751626857780219,0.2486553537161239,0.2886932086435139,3192,0.2793844742812792,2142,0.21460893614438437,840
N6_LINK_ADA_SOL_ETH_BTC_APT,6,True,0.17981709469981286,0.4812759024553527,0.3014588077555398,0.3891404908097078,3192,0.28142407840586836,2142,0.17045060691461478,840
N6_LINK_ADA_SOL_ETH_AVAX_APT,6,False,0.03062929946579294,0.10217361219093576,0.07154431272514282,0.2524083824373946,3192,0.014717695035705525,2142,-0.16877551331799356,840
N7_LINK_ADA_SOL_ETH_BTC_AVAX_APT,7,True,0.12389677504958115,0.3795057888674315,0.2556090138178504,0.3444239933047504,3192,0.22820326647720623,2142,0.15752743074964393,840
N7_LINK_ADA_SOL_ETH_BTC_AVAX_OP,7,True,0.1035354105041115,0.36693066483570336,0.26339525433159183,0.3489151288854768,3192,0.20409053491760676,2142,0.24296029068908886,840
N7_LINK_ADA_SOL_ETH_AVAX_APT_OP,7,False,-0.12718600210599607,-0.016454951855147858,0.1107310502508482,0.2919518746925476,3192,-0.011887955379174198,2142,-0.0494394428397551,840
N4_LINK_ADA_BTC_ETH,4,True,0.33483234765012004,0.6890302304536696,0.3541978828035496,0.35192843172249244,3192,0.4021632807050419,2142,0.37216073194528887,840
N4_LINK_ADA_SOL_ETH,4,False,0.34374791922671394,0.3120279568384614,-0.03171996238825253,0.09698000346807589,3192,0.01418457905713355,2142,-0.31640020364214116,840
N5_LINK_ADA_SOL_ETH_BTC,5,True,0.4452590107628906,0.6916925674213908,0.24643355665850025,0.23721875894558764,3192,0.32562465428906595,2142,0.20381026156694082,840
N5_LINK_ADA_SOL_ETH_AVAX,5,False,0.23443191505596708,0.2662774523780147,0.03184553732204762,0.2030550466427501,3192,0.013908815570490729,2142,-0.1942303501499567,840
