score,owner_type,owner,full_name,stars,days_since_push,homepage,description,signals,repo_url,owner_url
79,User,ahmadullahmukhlis,ahmadullahmukhlis/angular-dashboard,1,0,,,"angular.json,solo-user,stars-1,active-0d,readme,package.json",https://github.com/ahmadullahmukhlis/angular-dashboard,https://github.com/ahmadullahmukhlis
74,User,DiogoPCS,DiogoPCS/ProjetoAngularFirebase,17,2,https://projeto-angular-firebase-omega.vercel.app,,"angular.json,solo-user,stars-17,homepage,active-2d,readme,package.json",https://github.com/DiogoPCS/ProjetoAngularFirebase,https://github.com/DiogoPCS
74,User,technikhil314,technikhil314/angular-components,24,3,https://github.com/technikhil314/angular-components,Collection of all my open source angular components,"angular.json,solo-user,stars-24,homepage,active-3d,readme,package.json",https://github.com/technikhil314/angular-components,https://github.com/technikhil314
74,User,Intelligence08,Intelligence08/Angular-Dashboard,1,81,,This project was generated using Angular CLI version 20.1.0.,"angular.json,solo-user,stars-1,recent-81d,readme,package.json",https://github.com/Intelligence08/Angular-Dashboard,https://github.com/Intelligence08
69,User,aritchie05,aritchie05/EcoCraftingTool,30,58,https://eco-calc.com,Crafting calculator for Eco.,"angular.json,solo-user,stars-30,homepage,recent-58d,readme,package.json",https://github.com/aritchie05/EcoCraftingTool,https://github.com/aritchie05
69,User,ajaysinghj8,ajaysinghj8/angular-inport,34,0,https://ajaysinghj8.github.io/angular-inport/,Angular In View Port Detector ,"angular.json,solo-user,stars-34-NEG,homepage,active-0d,readme,package.json",https://github.com/ajaysinghj8/angular-inport,https://github.com/ajaysinghj8
61,User,fvilers,fvilers/ngx-file-helpers,37,0,,Angular File Helpers,"angular.json,solo-user,stars-37-NEG,active-0d,readme,package.json",https://github.com/fvilers/ngx-file-helpers,https://github.com/fvilers
59,User,andreasonny83,andreasonny83/angular2-cookie-law,36,113,https://stackblitz.com/edit/angular2-cookie-law,Angular2+ component that provides a banner to inform users about cookie law,"angular.json,solo-user,stars-36-NEG,homepage,stale-113d-NEG,readme,package.json",https://github.com/andreasonny83/angular2-cookie-law,https://github.com/andreasonny83
59,Organization,CenterForOpenScience,CenterForOpenScience/angular-osf,4,0,,Angular front-end for the Open Science Framework,"angular.json,org-NEG,stars-4,active-0d,readme,package.json",https://github.com/CenterForOpenScience/angular-osf,https://github.com/CenterForOpenScience
54,Organization,imagekit-developer,imagekit-developer/imagekit-angular,18,21,https://imagekit.io,Angular SDK for ImageKit.io client side file upload and URL generation,"angular.json,org-NEG,stars-18,homepage,active-21d,readme,package.json",https://github.com/imagekit-developer/imagekit-angular,https://github.com/imagekit-developer
54,Organization,GSA,GSA/ngx-uswds,19,0,https://gsa.github.io/ngx-uswds/,USWDS Components in Angular,"angular.json,org-NEG,stars-19,homepage,active-0d,readme,package.json",https://github.com/GSA/ngx-uswds,https://github.com/GSA
49,Organization,UiPath,UiPath/angular-components,39,14,https://platform.uipath.com,Angular components for r$ch web applications,"angular.json,org-NEG,stars-39-NEG,homepage,active-14d,readme,package.json",https://github.com/UiPath/angular-components,https://github.com/UiPath
49,Organization,sinequa,sinequa/sba-angular,31,2,https://sinequa.github.io/sba-angular/,Sinequa's Angular-based Search Based Application (SBA) Framework,"angular.json,org-NEG,stars-31-NEG,homepage,active-2d,readme,package.json",https://github.com/sinequa/sba-angular,https://github.com/sinequa
44,Organization,ngx-builders,ngx-builders/angular-builder,33,37,https://angular-builders.dev,List of all custom builders.,"angular.json,org-NEG,stars-33-NEG,homepage,recent-37d,readme,package.json",https://github.com/ngx-builders/angular-builder,https://github.com/ngx-builders
44,User,sktxdev,sktxdev/AngularDashboardTemplate,1,3,,,"angular.json,solo-user,stars-1,template-NEG,active-3d,readme,package.json",https://github.com/sktxdev/AngularDashboardTemplate,https://github.com/sktxdev
41,Organization,evt-project,evt-project/evt-viewer-angular,35,7,,Edition Visualization Technology version 3,"angular.json,org-NEG,stars-35-NEG,active-7d,readme,package.json",https://github.com/evt-project/evt-viewer-angular,https://github.com/evt-project
39,Organization,angular-hispano,angular-hispano/angular-hispano,37,105,https://angular.lat,La Comunidad Angular hispanohablante,"angular.json,org-NEG,stars-37-NEG,homepage,stale-105d-NEG,readme,package.json",https://github.com/angular-hispano/angular-hispano,https://github.com/angular-hispano
36,Organization,etn-ccis,etn-ccis/blui-angular-component-library,25,105,,Re-usable Angular components for use in Brightlayer UI applications,"angular.json,org-NEG,stars-25,stale-105d-NEG,readme,package.json",https://github.com/etn-ccis/blui-angular-component-library,https://github.com/etn-ccis
33,User,lara-newsom,lara-newsom/angular-routing-course,6,72,,,"angular.json,solo-user,stars-6,template-NEG,recent-72d,readme,package.json",https://github.com/lara-newsom/angular-routing-course,https://github.com/lara-newsom
24,Organization,SyncfusionExamples,SyncfusionExamples/angular-dashboard-layout-dynamic-components,1,6,,,"angular.json,org-NEG,stars-1,template-NEG,active-6d,readme,package.json",https://github.com/SyncfusionExamples/angular-dashboard-layout-dynamic-components,https://github.com/SyncfusionExamples
19,Organization,netlify-templates,netlify-templates/angular-quickstart,27,7,https://angular-quickstart.netlify.app/,A bare-bones Angular template to get you deployed to Netlify fast!,"angular.json,org-NEG,stars-27,template-NEG,homepage,active-7d,readme,package.json",https://github.com/netlify-templates/angular-quickstart,https://github.com/netlify-templates
14,Organization,flatlogic,flatlogic/angular-material-admin-full,27,66,https://flatlogic.com/templates/angular-material-admin-full/demo,Angular Material Admin Full Template built with Angular Material,"angular.json,org-NEG,stars-27,template-NEG,homepage,recent-66d,readme,package.json",https://github.com/flatlogic/angular-material-admin-full,https://github.com/flatlogic
14,Organization,syncfusion,syncfusion/ej2-angular-samples,40,15,http://ej2.syncfusion.com/angular/demos/,Essential JS 2 demo samples for Angular,"angular.json,org-NEG,stars-40-NEG,template-NEG,homepage,active-15d,readme,package.json",https://github.com/syncfusion/ej2-angular-samples,https://github.com/syncfusion
6,Organization,phaserjs,phaserjs/template-angular,38,26,,A Phaser 3 TypeScript project template that uses the Angular framework and Vite for bundling,"angular.json,org-NEG,stars-38-NEG,template-NEG,active-26d,readme,package.json",https://github.com/phaserjs/template-angular,https://github.com/phaserjs
1,Organization,fyoset,fyoset/angular-unit-testing-examples,30,103,,Showroom for different Angular unit testing concepts ,"angular.json,org-NEG,stars-30,template-NEG,stale-103d-NEG,readme,package.json",https://github.com/fyoset/angular-unit-testing-examples,https://github.com/fyoset
